Date,A2,gw_index,salinity,salinity_index,gw_suitability_index,sw_suitability_index,water_suitability_index
1970-08-19,14.48367458,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-20,14.4843019,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-21,14.48492921,0.0,0.0,1.0,0.0,,0.0
1970-08-22,14.48555652,0.0,0.0,1.0,0.0,,0.0
1970-08-23,14.48618384,0.0,0.0,1.0,0.0,,0.0
1970-08-24,14.48681115,0.0,0.0,1.0,0.0,,0.0
1970-08-25,14.48743847,0.0,0.0,1.0,0.0,,0.0
1970-08-26,14.48806578,0.0,0.0,1.0,0.0,,0.0
1970-08-27,14.4886931,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-28,14.48932041,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-29,14.48994772,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-30,14.49057504,0.0,0.0,1.0,0.0,0.403571428571,0.403571428571
1970-08-31,14.49120235,0.0,0.0,1.0,0.0,,0.0
1970-09-01,14.49182967,0.0,0.0,1.0,0.0,,0.0
1970-09-02,14.49245698,0.0,0.0,1.0,0.0,,0.0
1970-09-03,14.4930843,0.0,0.0,1.0,0.0,,0.0
1970-09-04,14.49371161,0.0,0.0,1.0,0.0,,0.0
1970-09-05,14.49433892,0.0,0.0,1.0,0.0,,0.0
1970-09-06,14.49496624,0.0,0.0,1.0,0.0,,0.0
1970-09-07,14.49559355,0.0,0.0,1.0,0.0,,0.0
1970-09-08,14.49622087,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-09,14.49684818,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-10,14.4974755,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-11,14.49810281,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-12,14.49873012,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-13,14.49935744,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-14,14.49998475,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-15,14.50061207,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-16,14.50123938,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-17,14.5018667,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-18,14.50249401,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-19,14.50312132,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-20,14.50374864,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-21,14.50437595,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-22,14.50500327,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-23,14.50563058,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-24,14.5062579,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-25,14.50688521,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-26,14.50751252,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-27,14.50813984,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-28,14.50876715,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-29,14.50939447,0.0,0.0,1.0,0.0,1.0,1.0
1970-09-30,14.51001444,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-01,14.51043029,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-02,14.51084614,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-03,14.51126198,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-04,14.51167783,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-05,14.51209368,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-06,14.51250953,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-07,14.51292538,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-08,14.51334123,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-09,14.51375708,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-10,14.51417292,0.0,0.0,1.0,0.0,1.0,1.0
1970-10-11,14.51458877,0.0,0.0,1.0,0.0,,0.0
1970-10-12,14.51500462,0.0,0.0,1.0,0.0,,0.0
1970-10-13,14.51542047,0.0,0.0,1.0,0.0,,0.0
