Date,A1,A2,A3,A4,A5,A6,A7,A8
1968-10-07,9.263796296,NA,NA,NA,NA,20.54426829,20.54426829,NA
1968-10-08,9.266203704,NA,NA,NA,NA,20.545,20.545,NA
1968-10-09,9.268611111,NA,NA,NA,NA,20.54573171,20.54573171,NA
1968-10-10,9.271018519,NA,NA,NA,NA,20.54646341,20.54646341,NA
1968-10-11,9.273425926,NA,NA,NA,NA,20.54719512,20.54719512,NA
1968-10-12,9.275833333,NA,NA,NA,NA,20.54792683,20.54792683,NA
1968-10-13,9.278240741,NA,NA,NA,NA,20.54865854,20.54865854,NA
1968-10-14,9.280648148,NA,NA,NA,NA,20.54939024,20.54939024,NA
1968-10-15,9.283055556,NA,NA,NA,NA,20.55012195,20.55012195,NA
1968-10-16,9.285462963,NA,NA,NA,NA,20.55085366,20.55085366,NA
1968-10-17,9.28787037,NA,NA,NA,NA,20.55158537,20.55158537,NA
1968-10-18,9.290277778,NA,NA,NA,NA,20.55231707,20.55231707,NA
1968-10-19,9.292685185,NA,NA,NA,NA,20.55304878,20.55304878,NA
1968-10-20,9.295092593,NA,NA,NA,NA,20.55378049,20.55378049,NA
1968-10-21,9.2975,NA,NA,NA,NA,20.5545122,20.5545122,NA
1968-10-22,9.299907407,NA,NA,NA,NA,20.5552439,20.5552439,NA
1968-10-23,9.302314815,NA,NA,NA,NA,20.55597561,20.55597561,NA
1968-10-24,9.304722222,NA,NA,NA,NA,20.55670732,20.55670732,NA
1968-10-25,9.30712963,NA,NA,NA,NA,20.55743902,20.55743902,NA
1968-10-26,9.309537037,NA,NA,NA,NA,20.55817073,20.55817073,NA
1968-10-27,9.311944444,NA,NA,NA,NA,20.55890244,20.55890244,NA
1968-10-28,9.314351852,NA,NA,NA,NA,20.55963415,20.55963415,NA
1968-10-29,9.316759259,NA,NA,NA,NA,20.56007082,20.56007082,NA
1968-10-30,9.319166667,NA,NA,NA,NA,20.56021246,20.56021246,NA
1968-10-31,9.321574074,NA,NA,NA,NA,20.5603541,20.5603541,NA
1968-11-01,9.323981481,NA,NA,NA,NA,20.56049574,20.56049574,NA
1968-11-02,9.326388889,NA,NA,NA,NA,20.56063738,20.56063738,NA
1968-11-03,9.328796296,NA,NA,NA,NA,20.56077902,20.56077902,NA
1968-11-04,9.328817096,NA,NA,NA,NA,20.56092066,20.56092066,NA
1968-11-05,9.326451287,NA,NA,NA,NA,20.5610623,20.5610623,NA
1968-11-06,9.324085479,NA,NA,NA,NA,20.56120394,20.56120394,NA
1968-11-07,9.32171967,NA,NA,NA,NA,20.56134558,20.56134558,NA
1968-11-08,9.319353862,NA,NA,NA,NA,20.56148722,20.56148722,NA
1968-11-09,9.316988054,NA,NA,NA,NA,20.56162886,20.56162886,NA
1968-11-10,9.314622245,NA,NA,NA,NA,20.5617705,20.5617705,NA
1968-11-11,9.312256437,NA,NA,NA,NA,20.56191214,20.56191214,NA
