group,start,end,duration,dry_period,timing,flood_timing,flood_duration,flood_dry_period,sw_suitability_index
532.0,1987-02-20,1987-02-25,6.0,45,2,0.9,0.214285714286,1.0,0.577142857143
534.0,1987-02-28,1987-03-03,4.0,3,2,0.9,0.142857142857,1.0,0.541428571429
536.0,1987-03-29,1987-03-31,3.0,26,3,0.1,0.107142857143,1.0,0.283571428571
539.0,1987-04-08,1987-04-10,3.0,4,4,0.1,0.107142857143,1.0,0.283571428571
541.0,1987-04-28,1987-05-02,5.0,18,4,0.1,0.178571428571,1.0,0.319285714286
543.0,1987-05-13,1987-05-20,8.0,11,5,0.1,0.285714285714,1.0,0.372857142857
547.0,1987-07-02,1987-07-05,4.0,11,7,0.5,0.142857142857,1.0,0.421428571429
549.0,1987-07-18,1987-09-22,67.0,13,7,0.5,0.81884057971,1.0,0.759420289855
551.0,1987-09-29,1987-10-08,9.0,7,9,1.0,0.321428571429,1.0,0.660714285714
553.0,1987-10-18,1987-10-21,4.0,10,10,1.0,0.142857142857,1.0,0.571428571429
555.0,1987-12-01,1987-12-05,5.0,41,12,1.0,0.178571428571,1.0,0.589285714286
557.0,1988-01-01,1988-01-05,5.0,27,1,0.9,0.178571428571,1.0,0.559285714286
560.0,1988-03-11,1988-03-15,4.0,18,3,0.1,0.142857142857,1.0,0.301428571429
562.0,1988-04-28,1988-04-30,3.0,44,4,0.1,0.107142857143,1.0,0.283571428571
564.0,1988-05-21,1988-06-02,13.0,21,5,0.1,0.464285714286,1.0,0.462142857143
566.0,1988-06-06,1988-07-01,26.0,4,6,0.1,0.928571428571,1.0,0.694285714286
568.0,1988-07-22,1988-10-16,87.0,21,7,0.5,0.673913043478,1.0,0.686956521739
570.0,1988-11-04,1988-11-08,5.0,19,11,1.0,0.178571428571,1.0,0.589285714286
573.0,1988-11-24,1988-11-27,4.0,8,11,1.0,0.142857142857,1.0,0.571428571429
575.0,1988-12-05,1988-12-12,8.0,8,12,1.0,0.285714285714,1.0,0.642857142857
579.0,1989-03-11,1989-03-17,7.0,4,3,0.1,0.25,1.0,0.355
581.0,1989-03-21,1989-03-24,4.0,4,3,0.1,0.142857142857,1.0,0.301428571429
583.0,1989-04-01,1989-04-19,19.0,8,4,0.1,0.678571428571,1.0,0.569285714286
585.0,1989-05-05,1989-10-22,171.0,16,5,0.1,0.0652173913043,1.0,0.262608695652
587.0,1989-10-25,1989-11-22,29.0,3,10,1.0,1.0,1.0,1.0
589.0,1989-12-02,1989-12-06,5.0,10,12,1.0,0.178571428571,1.0,0.589285714286
591.0,1989-12-14,1989-12-18,5.0,8,12,1.0,0.178571428571,1.0,0.589285714286
595.0,1990-02-01,1990-02-15,13.0,36,2,0.9,0.464285714286,1.0,0.702142857143
600.0,1990-03-31,1990-04-03,4.0,9,3,0.1,0.142857142857,1.0,0.301428571429
602.0,1990-04-11,1990-04-16,6.0,8,4,0.1,0.214285714286,1.0,0.337142857143
606.0,1990-05-16,1990-05-25,10.0,11,5,0.1,0.357142857143,1.0,0.408571428571
608.0,1990-07-19,1990-07-29,11.0,55,7,0.5,0.392857142857,1.0,0.546428571429
610.0,1990-08-04,1990-08-08,4.0,6,8,0.5,0.142857142857,1.0,0.421428571429
612.0,1990-08-18,1990-09-19,33.0,10,8,0.5,1.0,1.0,0.85
615.0,1990-10-01,1990-10-04,4.0,7,10,1.0,0.142857142857,1.0,0.571428571429
618.0,1990-10-12,1990-11-01,20.0,3,10,1.0,0.714285714286,1.0,0.857142857143
620.0,1991-01-05,1991-01-08,4.0,65,1,0.9,0.142857142857,1.0,0.541428571429
622.0,1991-01-24,1991-01-28,5.0,16,1,0.9,0.178571428571,1.0,0.559285714286
632.0,1991-06-30,1991-07-17,18.0,63,6,0.1,0.642857142857,1.0,0.551428571429
634.0,1991-08-01,1991-08-05,4.0,15,8,0.5,0.142857142857,1.0,0.421428571429
637.0,1991-08-25,1991-09-05,12.0,13,8,0.5,0.428571428571,1.0,0.564285714286
639.0,1991-09-11,1991-10-07,27.0,6,9,1.0,0.964285714286,1.0,0.982142857143
645.0,1992-01-01,1992-01-03,3.0,14,1,0.9,0.107142857143,1.0,0.523571428571
647.0,1992-03-05,1992-03-07,3.0,62,3,0.1,0.107142857143,1.0,0.283571428571
656.0,1992-05-14,1992-05-21,8.0,3,5,0.1,0.285714285714,1.0,0.372857142857
658.0,1992-06-21,1992-06-24,4.0,31,6,0.1,0.142857142857,1.0,0.301428571429
660.0,1992-06-27,1992-06-29,3.0,3,6,0.1,0.107142857143,1.0,0.283571428571
664.0,1992-08-31,1992-12-13,105.0,14,8,0.5,0.54347826087,1.0,0.621739130435
666.0,1992-12-16,1993-01-12,27.0,3,12,1.0,0.964285714286,1.0,0.982142857143
668.0,1993-01-17,1993-02-14,29.0,5,1,0.9,1.0,1.0,0.97
670.0,1993-02-22,1993-02-26,5.0,8,2,0.9,0.178571428571,1.0,0.559285714286
672.0,1993-03-08,1993-03-11,4.0,10,3,0.1,0.142857142857,1.0,0.301428571429
674.0,1993-03-24,1993-04-01,9.0,13,3,0.1,0.321428571429,1.0,0.390714285714
679.0,1993-05-24,1993-05-29,6.0,11,5,0.1,0.214285714286,1.0,0.337142857143
681.0,1993-07-09,1993-07-18,10.0,41,7,0.5,0.357142857143,1.0,0.528571428571
683.0,1993-08-01,1993-11-27,119.0,14,8,0.5,0.442028985507,1.0,0.571014492754
685.0,1993-12-13,1993-12-18,6.0,16,12,1.0,0.214285714286,1.0,0.607142857143
687.0,1993-12-22,1993-12-28,7.0,4,12,1.0,0.25,1.0,0.625
691.0,1994-02-11,1994-02-14,4.0,34,2,0.9,0.142857142857,1.0,0.541428571429
694.0,1994-02-27,1994-03-04,6.0,10,2,0.9,0.214285714286,1.0,0.577142857143
696.0,1994-03-09,1994-03-13,5.0,5,3,0.1,0.178571428571,1.0,0.319285714286
699.0,1994-03-27,1994-03-29,3.0,6,3,0.1,0.107142857143,1.0,0.283571428571
701.0,1994-04-04,1994-04-09,5.0,6,4,0.1,0.178571428571,1.0,0.319285714286
705.0,1994-04-22,1994-04-24,3.0,8,4,0.1,0.107142857143,1.0,0.283571428571
708.0,1994-05-10,1994-05-23,14.0,10,5,0.1,0.5,1.0,0.48
713.0,1995-01-29,1995-02-01,3.0,18,1,0.9,0.107142857143,1.0,0.523571428571
715.0,1995-04-08,1995-04-12,5.0,66,4,0.1,0.178571428571,1.0,0.319285714286
720.0,1995-06-08,1995-06-19,12.0,14,6,0.1,0.428571428571,1.0,0.444285714286
